data,denominazione_regione,colore
2021-01-31,Basilicata,giallo
2021-02-01,Basilicata,giallo
2021-02-02,Basilicata,giallo
2021-02-03,Basilicata,giallo
2021-02-04,Basilicata,giallo
2021-02-05,Basilicata,giallo
2021-02-06,Basilicata,giallo
2021-02-07,Basilicata,giallo
2021-02-08,Basilicata,giallo
2020-11-06,Calabria,giallo
2020-11-07,Calabria,giallo
2020-11-08,Calabria,giallo
2020-11-09,Calabria,giallo
2020-11-10,Calabria,giallo
2020-11-11,Calabria,giallo
2020-11-12,Calabria,giallo
2020-11-13,Calabria,giallo
2020-11-14,Calabria,giallo
2020-11-15,Calabria,giallo
2020-11-16,Calabria,giallo
2020-11-17,Calabria,giallo
2020-11-18,Calabria,giallo
2020-11-19,Calabria,giallo
2020-11-20,Calabria,rosso
2020-11-21,Calabria,rosso
2020-11-22,Calabria,rosso
2020-11-23,Calabria,rosso
2020-11-24,Calabria,rosso
2020-11-25,Calabria,rosso
2020-11-26,Calabria,rosso
2020-11-27,Calabria,rosso
2020-11-28,Calabria,rosso
2020-11-29,Calabria,arancione
2020-11-30,Calabria,arancione
2020-12-01,Calabria,arancione
2020-12-02,Calabria,arancione
2020-12-03,Calabria,arancione
2020-12-04,Calabria,arancione
2020-12-05,Calabria,arancione
2020-12-06,Calabria,arancione
2020-12-07,Calabria,arancione
2020-12-08,Calabria,arancione
2020-12-09,Calabria,arancione
2020-12-10,Calabria,arancione
2020-12-11,Calabria,arancione
2020-12-12,Calabria,arancione
2020-12-13,Calabria,giallo
2020-12-14,Calabria,giallo
2020-12-15,Calabria,giallo
2020-12-16,Calabria,giallo
2020-12-17,Calabria,giallo
2020-12-18,Calabria,giallo
2020-12-19,Calabria,giallo
2020-12-20,Calabria,giallo
2020-12-21,Calabria,giallo
2020-12-22,Calabria,giallo
2020-12-23,Calabria,giallo
2020-12-24,Calabria,rosso
2020-12-25,Calabria,rosso
2020-12-26,Calabria,rosso
2020-12-27,Calabria,rosso
2020-12-28,Calabria,arancione
2020-12-29,Calabria,arancione
2020-12-30,Calabria,arancione
2020-12-31,Calabria,rosso
2021-01-01,Calabria,rosso
2021-01-02,Calabria,rosso
2021-01-03,Calabria,rosso
2021-01-04,Calabria,arancione
2021-01-05,Calabria,rosso
2021-01-06,Calabria,rosso
2021-01-07,Calabria,giallo
2021-01-08,Calabria,giallo
2021-01-09,Calabria,arancione
